ResponseId,country,hate_definition,translated_hate_definition,translated_hate_definition_cleaned
R_2uWfjkG5lxccu1q,col,pues como algo que se note mucho que es dicho con el fin de ofender o menos preciar las ideas o el pensamiento de alguien,"Well, as something that is noticed that is said in order to offend or less prize the ideas or thought of someone","Well, as something that is noticed that is said in order to offend or less prize the ideas or thought of someone"
R_3kpGbryXKvu1luM,col,"@já el discurso d odio, son posturas antinaturales, x inconformismos, invidias, egos, sesgos yqcia los q piensan y tienen una opinión diferente x algo o x alguíen!!!","@já hate speech, are antinatural postures, x non -conformism, invidias, egos, biases andqcia those who think and have a different opinion x something or x someone !!!","@já hate speech, are antinatural postures, x non -conformism, invidias, egos, biases andqcia those who think and have a different opinion x something or x someone !!!"
R_12M60dDzGmQbr72,col,Que atente contra toda agresión verbal personal y en contra de la integridad humana animal o que constituya a la naturaleza o vida en general.,That attempts against all personal verbal aggression and against animal human integrity or that constitutes nature or life in general.,That attempts against all personal verbal aggression and against animal human integrity or that constitutes nature or life in general.
R_1NfSQI9QVjBsKnt,col,Maltrato a las personas por su color de piel y por su físico o por su trabajo y también influyevsu vocabulario respeto ante todo.,Abuse people for their skin color and for their physique or for their work and also influence vocabulary respect first of all.,Abuse people for their skin color and for their physique or for their work and also influence vocabulary respect first of all.
R_3p5dAUhbFjC2Xae,col,"Precisamente como eso, todas las frases usadas están cargadas de este sentimiento, el odio contra otro. Buscan herir y perjudicar los sentimientos del atacado o los atacados. Encierra verdadero rechazo y es muy peligroso.","Precisely like that, all the phrases used are loaded with this feeling, hatred against another.They seek to hurt and harm the feelings of the attacked or those attacked.It contains real rejection and is very dangerous.","Precisely like that, all the phrases used are loaded with this feeling, hatred against another.They seek to hurt and harm the feelings of the attacked or those attacked.It contains real rejection and is very dangerous."
R_264KDZFCIsvmtmH,col,"- Cuando incita a la violencia (física o verbal) contra el otro.
- Cuando incita a tomar justicia por las propias manos
- Cuando de manera directa o indirecta invita a matar o terminar con el otro
- Cuando las palabras son claramente utilizadas para dañar y ofender al otro sin ningún tipo de empatía, respeto ni responsabilidad 
- Cuando directa o indirectamente el objetivo del mensaje es alimentar el odio en contra del otro
-Cuando se violenta la vida privada del otro para hacerle daño 
Cuando no es una opinión aislada o inocente sino claramente una invitación a actuar en contra del otro para hacerle daño físico, daño emocional, daño a su buen nombre o cualquier otro daño 
","- When it encourages violence (physical or verbal) against the other.
- When he encourages justice for his own hands
- When directly or indirectly invites to kill or end the other
- When words are clearly used to damage and offend the other without any empathy, respect or responsibility
- When directly or indirectly the objective of the message is to feed the hatred against the other
-When the private life of the other is violent to harm him
When it is not an isolated or innocent opinion but clearly an invitation to act against the other to do physical damage, emotional damage, damage to your good name or any other damage","- When it encourages violence (physical or verbal) against the other. - When he encourages justice for his own hands - When directly or indirectly invites to kill or end the other - When words are clearly used to damage and offend the other without any empathy, respect or responsibility - When directly or indirectly the objective of the message is to feed the hatred against the other -When the private life of the other is violent to harm him When it is not an isolated or innocent opinion but clearly an invitation to act against the other to do physical damage, emotional damage, damage to your good name or any other damage"
R_2xORHk4Kocd2co4,col,"Mensajes ofensivos, discriminatorios, racistas, posturas políticas, burlas sobre el fisico y las capacidades cognitivas de las personasa. Etc","Offensive, discriminatory, racist, political positions, teasing about the physicist and the cognitive abilities of people.Etc","Offensive, discriminatory, racist, political positions, teasing about the physicist and the cognitive abilities of people.Etc"
R_3n2vMW0E5NXDQsV,col,"Aquel que va dirigido contra un grupo identitario definido por una característica inmutable (color de piel, religión, nacionalidad, etc) y que llama a que se tomen acciones en su contra","The one that is directed against an identity group defined by an immutable characteristic (skin color, religion, nationality, etc) and that calls for actions to be taken against him","The one that is directed against an identity group defined by an immutable characteristic (skin color, religion, nationality, etc) and that calls for actions to be taken against him"
R_2B8M8KNLjIKzw9L,col,"Un directo o indirecto ataque verbal sobre una idea o persona, tratando normalmente de hacer ver sus sentimientos de odio sobre la idea o persona en concreto.","A direct or indirect verbal attack on an idea or person, normally trying to show their feelings of hate about the idea or person in particular.","A direct or indirect verbal attack on an idea or person, normally trying to show their feelings of hate about the idea or person in particular."
R_3kzTJgLYnCzV5ZL,col,"Discurso de odio, es aquel en el que se pisotea la dignidad de una persona en forma directa, con palabras soeses y vulgaridades","Hate Speech, is one in which the dignity of a person directly is trampled, with soeses and vulgarities","Hate Speech, is one in which the dignity of a person directly is trampled, with soeses and vulgarities"
R_2xRBPoEBuTS1f2k,col,Es cuando la opinión de una persona lesiona gravemente la forma de pensar de otra o incita a la agresión física o psicológica contra los demás ususarios,It is when the opinion of a person seriously injures the way of thinking of another or encourages physical or psychological aggression against other ususarians,It is when the opinion of a person seriously injures the way of thinking of another or encourages physical or psychological aggression against other ususarians
R_2CCIouuD62dkQDP,col,"Es ir más allá de una simple opinión, expresando una idea con palabras ofensivas, que denigren, que hagan que otros piensen que también pueden ofender.","It is going beyond a simple opinion, expressing an idea with offensive words, which they denigrate, that others think they can also offend.","It is going beyond a simple opinion, expressing an idea with offensive words, which they denigrate, that others think they can also offend."
R_2s7riiA14DCiMXg,col,"El manejó del miedo por parte de los medios, cuándo se toca o se discute un tema social político económico educativo religioso o militar que afecte a las clases dominantes en este país desde siempre hasta hoy","He managed the fear by the media, when a religious or military educational social social social social issue is touched or discussed that affects the ruling classes in this country always until today","He managed the fear by the media, when a religious or military educational social social social social issue is touched or discussed that affects the ruling classes in this country always until today"
R_SIBOSSqpYz34ybv,col,"Una expresión ofensiva dirigido a un grupo o individuo y que se basa en características inherentes (como son la raza, la religión o el género) y que puede poner en peligro la paz social.","An offensive expression aimed at a group or individual and that is based on inherent characteristics (such as race, religion or gender) and that can endanger social peace.","An offensive expression aimed at a group or individual and that is based on inherent characteristics (such as race, religion or gender) and that can endanger social peace."
R_3iHVTZzadZp2H64,col,"Es el discurso que agrede, denigra, ofende y maltrata a la persona a su estado emocional , mental y a su ser.","It is the speech that aggregate, denigrates, offends and mistreats the person to their emotional, mental state and their being.","It is the speech that aggregate, denigrates, offends and mistreats the person to their emotional, mental state and their being."
R_1obzLrKRc0YuXHX,col,"Discurso de odio es aquel que promueve actos que perjudiquen física, espiritual, emocionalmente a otras personas de manera directa, que son promovidas por algunos entes controladores de opinión que sesgan la verdad para su propio beneficio haciendo que las personas sean idiotas útiles a sus propósitos.","Hate Speech is one that promotes acts that harm physically, spiritually, emotionally to other people directly, which are promoted by some opinion controllers that biase the truth for their own benefit making people people useful to their purposes.","Hate Speech is one that promotes acts that harm physically, spiritually, emotionally to other people directly, which are promoted by some opinion controllers that biase the truth for their own benefit making people people useful to their purposes."
R_3kptp5dhelw1BEA,col,"El discurso de odio es expresar las ideas en base a la discriminación por la diferencia de opinión, incitando al odio y a la violencia por el hecho de dar a conocer una ideología y pensamiento, además en muchas ocasiones se reciben amenazas  de muerte o daño físico, por una opinión escrita en una red social.","Hate discourse is to express ideas based on discrimination due to the difference of opinion, inciting hatred and violence by making an ideology and thought known, in many occasions death threats or physical damage are received,for an opinion written in a social network.","Hate discourse is to express ideas based on discrimination due to the difference of opinion, inciting hatred and violence by making an ideology and thought known, in many occasions death threats or physical damage are received,for an opinion written in a social network."
R_2aDqgA4ovpPF5aD,col,Un discurso de odio es todo aquel que muestra a una persona  o institución social como mala sin argumentos sólidos que lo demuestren.,A hate speech is anyone who shows a person or social institution as bad without solid arguments that demonstrate it.,A hate speech is anyone who shows a person or social institution as bad without solid arguments that demonstrate it.
R_VUvs7MLOYw1hQ0F,col,"No existe, la gente de hoy día es toda frágil e idiota y creen que todo es personal y si así lo fuera deberían dejar de llorar por lo que leen en internet.","It does not exist, the people of today are all fragile and idiot and believe that everything is personal and if so they should stop crying for what they read on the Internet.","It does not exist, the people of today are all fragile and idiot and believe that everything is personal and if so they should stop crying for what they read on the Internet."
R_1X479d1HkYGSkKt,col,"Las personas con discurso de odio .Son aquellas que les resulta imposible aceptar la diferencia frente a credo , raza política o otra forma de pensar . O simplemente expresar su opinión frente a un tema de actualidad.","People with hate speech. They are those who find it impossible to accept the difference against creed, political race or another way of thinking.Or simply express your opinion in the face of a current issue.","People with hate speech. They are those who find it impossible to accept the difference against creed, political race or another way of thinking.Or simply express your opinion in the face of a current issue."
R_1FxLu9k5vB5TInZ,col,"Libertad : odio y amor, cada persona expresa lo que piensa, y todo radica en la persona que que recibe el discurso y su capacidad de asimilación","Freedom: hate and love, each person expresses what he thinks, and everything lies in the person who receives discourse and his ability to assimilate","Freedom: hate and love, each person expresses what he thinks, and everything lies in the person who receives discourse and his ability to assimilate"
R_BDrMjpztvQD8DAZ,col,"Lo definiría como el discurso que deliberadamente promueve reacciones adversas contra un individuo o grupo de individuos con fines políticos, económicos o sociales, basado en prejuicios o, lo que es aún peor, en sesgos cognitivos, motivado por la ignorancia y la falta de reflexión.","It would define it as the discourse that deliberately promotes adverse reactions against an individual or group of individuals for political, economic or social purposes, based on prejudices or, what is even worse, in cognitive bias, motivated by ignorance and lack of reflection.","It would define it as the discourse that deliberately promotes adverse reactions against an individual or group of individuals for political, economic or social purposes, based on prejudices or, what is even worse, in cognitive bias, motivated by ignorance and lack of reflection."
R_3lQZhY7viYdhHn4,col,Los zurdos de 💩 censuradores de las redes sociales como facebook y Twitter de extrema narcoultra izquierda son los que más destilan odió y luego se hacen las víctimas.👍,The left -handed left -hander of social networks such as Facebook and Twitter of extreme left narcoultra are the ones that most distil and then the victims are made.,The left -handed left -hander of social networks such as Facebook and Twitter of extreme left narcoultra are the ones that most distil and then the victims are made.
R_1MMLLGrSPDK4RSD,col,"El discurso de odio es un invento de la modificación de la constitución a partir de la Constituyente de 1.991 para robarse los recursos económicos del Estado, creando mafias organizadas y camufladas en el nombre ONG, que ha dado cómo único resultados la segmentación del país y el odio de clases,... Si no existieran grupos ""minoritarios"" hoy seríamos un sólo país y todos seríamos iguales. Pero lo que encontramos es que los grupos minoritarios tienen más derechos que los grupos mayoritarios. Y eso es un grave error en una Democracia!","Hate discourse is an invention of the modification of the Constitution from the constituent of 1991 to steal the economic resources of the State, creating organized mafias and camouflaged in the name NGOs, which has given how the only results the segmentation of the country and theHate of classes, ... if there were no ""minority"" groups today we would be a single country and we would all be the same.But what we find is that minority groups have more rights than majority groups.And that is a serious mistake in a democracy!","Hate discourse is an invention of the modification of the Constitution from the constituent of 1991 to steal the economic resources of the State, creating organized mafias and camouflaged in the name NGOs, which has given how the only results the segmentation of the country and theHate of classes, ... if there were no ""minority"" groups today we would be a single country and we would all be the same.But what we find is that minority groups have more rights than majority groups.And that is a serious mistake in a democracy!"
R_1eWutRsY2cnEH0x,col,"UN DSICURSO QUE OFENDE AL OTRO EN TODOS LOS SENTIDOS, CON PALABRAS VIOLENTAS, EN EL QUE ADEMÁS SE AMENAZA EL BIENESTAR DEL OTRO.","A speech that offends the other in every way, with violent words, in which the welfare of the other is also threatened.","A speech that offends the other in every way, with violent words, in which the welfare of the other is also threatened."
R_1BVGKkRKnwO6eMv,col,"Todo lo que implique DISCRIMINACION , racial -. religiosa  - económica - clasista - cultural - .etc. 
El fanatismo   que invite a la violencia (deportivo  - religioso. -: político - etc)
","Everything that implies discrimination, racial -.Religious - Economic - Classist - Cultural - .etc.
The fanaticism that invites violence (Sports - Religious. -: Politics - etc)","Everything that implies discrimination, racial -.Religious - Economic - Classist - Cultural - .etc. The fanaticism that invites violence (Sports - Religious. -: Politics - etc)"
R_1jcX7OvH9lNCzHE,col,"Aquel que pretende obligar a una persona ,a pensar actuar y aceptar sin derecho a critica y expresar libremente su opinión y postura en cuánto a un tema en particular.","The one who intends to force a person, to think to act and accept without the right to criticizes and freely express his opinion and position in as a particular subject.","The one who intends to force a person, to think to act and accept without the right to criticizes and freely express his opinion and position in as a particular subject."
R_ULuw1Zx9m2wLwbf,col,"Un discurso de odio es aquel con palabras ofensivas que incitan a la discordia y a la difamación de personas, a la calumnia, como del que ha sido víctima mi presidente Uribe, muchas cosas malas se han dicho de él, pero nunca se ha comprobado nada, esto demuestra que todo es un discurso de odio.
","A hate speech is that with offensive words that encourage discord and defamation of people, slander, as my president Uribe has been victim, many bad things have been said about him, but anything has never been proven,This shows that everything is a hate speech.","A hate speech is that with offensive words that encourage discord and defamation of people, slander, as my president Uribe has been victim, many bad things have been said about him, but anything has never been proven,This shows that everything is a hate speech."
R_1AFhgXU3o1JgkLv,phl,Dapat mag isip mabuti bago mqgpost ng mga bagay bagay,Should think well before mqgpost of things things,Should think well before mqgpost of things things
R_2QWMGf6pdKt2fvw,phl,Ang hate speech. Ay wla paki.alam kung ano man ang mararamdaman ng ibang tao..,The hate speech.Will not know what other people will feel ..,The hate speech.Will not know what other people will feel ..
R_1hXSBklREuD0pLJ,phl,"Nasa pananalita po iyon,kaya ingatan ang dila para hindi makasakit sa kapwa of kahit saan...","It is in the speech, so keep the tongue in so as not to hurt others anywhere ...","It is in the speech, so keep the tongue in so as not to hurt others anywhere ..."
R_10IVwpdVUKwgRfq,phl,Kapag ang Isinulat ay masyadong yuuyurak sa isang tao o gtupo ng tao,When written is too yuuyurak to a person or man -seated,When written is too yuuyurak to a person or man -seated
R_6x6DdiNsBGlM8U1,phl,Hating on an idea or a person without justification,Hating on an idea or a person without justification,Hating on an idea or a person without justification
R_2ruxTJiActN3OZE,phl,nagbabanta na pumatay,threatening to kill,threatening to kill
R_3ebguArjKaV9IUN,phl,salita na maaring makasakit sa isang tao ng hindi naman nya deserve,Words that can hurt someone without deserving,Words that can hurt someone without deserving
R_3g0pS6Tu5Kou8pq,phl,Parang survey lang at para sa ikakaayos ng social media at ng mga gumagamit sa social media,Just like a survey and for social media organizations and social media users,Just like a survey and for social media organizations and social media users
R_2tf1wRliZuenT9m,phl,Kapag ang nilalaman nito ay nakaapekto sa isang tao o isang minorya,When its content affects a person or a minority,When its content affects a person or a minority
R_3KD64T5yPbJbw04,phl,Kung ito nakakasakit sa damdamin ng tao o nalilibak ang kanyang pagkatao,If it hurts human emotions or disappoints his or her personality,If it hurts human emotions or disappoints his or her personality
R_1NFlJfFUhblOrWj,phl,"Personal na tinitira Ang pagka tao basi sa relehiyon,kasarian Ng Isang tao","Personally resides humanity based on religion, a person's gender","Personally resides humanity based on religion, a person's gender"
R_40iADXqRgessrHb,phl,"Anything injurius. 
Kahit anong salita na hindi nakalulugod sa Diyos","Anything injurius.
Any word that is not pleasing to God",Anything injurius. Any word that is not pleasing to God
R_1rjlaPatP1MNs3e,phl,Nag mumura0,Nag mumura0,Nag mumura0
R_UcqEuCBp15YHtqV,phl,Yung salitang direktang nagsasaad ng hate sa anumang topic.,The word directly states the hate on any topic.,The word directly states the hate on any topic.
R_2uqD3JTC6HtvFpT,phl,Na,Na,Na
R_2SjlQ5GC0kSbOEe,phl,Pag sobrang mapanakit sa pagkatao ang post.,When the post is overly harmful to personality.,When the post is overly harmful to personality.
R_vZyYEIZQ67y2I0x,phl,Isang bagay na nakakasama o nakakasakit sa damdamin ng ibang tao.,Something that is harmful or offensive to someone else's feelings.,Something that is harmful or offensive to someone else's feelings.
R_1j6zdMF01ng5UJF,phl,Kapag ang pananalita ay direktang nang-aalipusta sa isang grupo ng lipunan,When speech is directly insulting a group of society,When speech is directly insulting a group of society
R_2BfeeO9jEMrqbSU,phl,Report,Report,Report
R_1DtZvTp9zwgABVR,phl,Yong nagmumura at pinepersonal ang kausap,Yong curses and personalizes the conversation,Yong curses and personalizes the conversation
R_bqMgRoTA2CbUPJv,phl,"Ang pagdapurak at panglalait sa personalidad ng isa tao,bagay o instutusyon","Puppies and insults in one's personality, object or institution","Puppies and insults in one's personality, object or institution"
R_1cYsBoV2YcEzscJ,phl,Educate the public regarding right conduct for public comments in social media,Educate the public regarding right conduct for public comments in social media,Educate the public regarding right conduct for public comments in social media
R_123gcmlDXrwHAfe,phl,Hate speech isang uri ng pagpapahayag na nakakasira ng disposisyon ng Isang tao,Hate speech a kind of expression that harm a person's disposition,Hate speech a kind of expression that harm a person's disposition
R_21nCdJ4YwzfeTVn,phl,"Isang panig na pananaw lamang, masama at negatibo tungo sa ibang tao","One -sided point of view, bad and negative towards other people","One -sided point of view, bad and negative towards other people"
R_2TQR0baElGfyYvj,phl,mga salita na nakakasakit ng damdamin at nakakasira ng dignidad,words that are emotionally offensive and harmful to dignity,words that are emotionally offensive and harmful to dignity
R_5A6BSMGyOPikHtL,phl,Uri ng pananalita na nagpapahiwatig ng galit o pagkamuhi sa isang pangkat ng tao.,Type of speech that indicates anger or hatred in a group of people.,Type of speech that indicates anger or hatred in a group of people.
R_3hE1lCvMK2BuwE0,phl,"Kung personal ang pag-atake sa kausap, at walang kinalaman sa isyu.","If the attack on the conversation is personal, and it has nothing to do with the issue.","If the attack on the conversation is personal, and it has nothing to do with the issue."
R_3GoB6tf8AxjVzMe,phl,Bias may kinikilingan may prinoprotektahan,Bias Patient with Prinop protective,Bias Patient with Prinop protective
R_3rSU8kB8sbjQIJY,phl,kapag sinabi o pinost ay nakaksakit na ng tao,When said or posted is already human pain,When said or posted is already human pain
R_sb3AxBF4cvMcEBH,phl,Ang mga nagpopost ng maling impormasyon sa social media,Those who post misinformation on social media,Those who post misinformation on social media
R_2fSL0wC98y0kIlr,phl,Ang hate speech ay natutukoy kung iyo ay nakakasakit na ng damdamin.,The hate speech is determined if you are already heartbroken.,The hate speech is determined if you are already heartbroken.
R_Rs5LsOFiFxq3ZwB,phl,Speech that specifically and intentionally targets and aims to hurt peoples weakeness,Speech that specifically and intentionally targets and aims to hurt people's weakness,Speech that specifically and intentionally targets and aims to hurt people's weakness
R_3LdPDVlzgvKlGOE,phl,Mga komentong may pagbabanta o magmumura laban sa indibidual o grupo.,Comments with threats or swear against the individual or group.,Comments with threats or swear against the individual or group.
R_2dncDDIQTvpOGzF,phl,incites to do harm,incites to do harm,incites to do harm
R_tEejTCTOwKkW92N,phl,"Pag ito ay may pagbabanta na. May pagpatay, may physical na pananakit ang gusto gawin. Gnun.","If it is a threat.There is a murder, with physical pain to do.Gnun.","If it is a threat.There is a murder, with physical pain to do.Gnun."
R_3NzgnQWVH1eTYIh,phl,Tila hindi ko ito maipaliwanag nang maayos sa ngayon. Paumanhin po.,I can't seem to explain it properly right now.Excuse me.,I can't seem to explain it properly right now.Excuse me.
R_RaxNeVz4PznkMPT,phl,Nah,Nah,Nah
R_3EiJh2AAqm5pdNQ,phl,Hate speech ay mga salitang nakakasama sa kaligtasan o buhay ng mga tao,Hate Speech are words that harm the safety or life of people,Hate Speech are words that harm the safety or life of people
R_1DCI74HSEAHeYUk,phl,Any allegation without factual basis aimed at demoralizing certain individuals or groups,Any allegation without factual basis aimed at demoralizing certain individuals or groups,Any allegation without factual basis aimed at demoralizing certain individuals or groups
R_3KTpnsbrcj3yZNp,phl,Yung nakaka sakit sa taong pinatutungkulan ng hate speech,The one who gets sick to the person who has a hate speech,The one who gets sick to the person who has a hate speech
R_3PAy5H8KBBVBELN,phl,makkasama sa katauhan ng taong pinattungkulan ng hate speech,Include the person of the person who is held by the Hate Speech,Include the person of the person who is held by the Hate Speech
R_1EfV4muWnU45rWS,phl,hate speech is urging people for unreasonable cause,hate speech is urging people for unreasonable cause,hate speech is urging people for unreasonable cause
R_2ZByl3olkGfYLZU,phl,Puri galit ang haye speech,Puri anger the haye speech,Puri anger the haye speech
R_Wj1RCRE7qAbes5r,phl,galit,angry,angry
R_10HqkWat9Ckd5Hf,phl,Sagutin ng mahinahon ang mga kasinungalingan.,Answer the lies calmly.,Answer the lies calmly.
R_2fpUsc2BXwMSZAF,phl,Kapag Hindi na maganda ang nilalaman Ng nakasulat,When the content of the written is no longer good,When the content of the written is no longer good
R_3KuqTBKj1cuW969,phl,Kapag ito ay direktang panlalait.,When it is direct insult.,When it is direct insult.
R_1lbqX7a72ljnvob,phl,Nakakasakit at nag nang uuri ng opinyon ng mga tao,Offensive and classifying people's opinions,Offensive and classifying people's opinions
R_2A0fO48Ejmxf0ba,phl,"The way they use the language, harshly stated,foul statement, below the belt statements.","The way they use the language, harshly stated,foul statement, below the belt statements.","The way they use the language, harshly stated,foul statement, below the belt statements."
R_338xrwpihiaKJrM,phl,PERSONAL ATTACK INSTEAD OF GIVING AN OPINION BASE ON THE TOPIC,PERSONAL ATTACK INSTEAD OF GIVING AN OPINION BASE ON THE TOPIC,PERSONAL ATTACK INSTEAD OF GIVING AN OPINION BASE ON THE TOPIC
R_262QkJ3Ml8hhByz,phl,ang hate speech ay isang malaking bagay lalao na kung ikaw ay pulitiko celebrity or influencer dahil lahat ng post or hate speech na gagawin ay maaring makaapekto sa ideyal n pagiisip ng isang tao,Hate Speech is a big thing Lalao that if you are a Celebrity Political or Influencer because all posts or hate speech to do can affect someone's ideal thinking,Hate Speech is a big thing Lalao that if you are a Celebrity Political or Influencer because all posts or hate speech to do can affect someone's ideal thinking
R_2ccNspbc7VXXOsr,phl,"magbitiw ka ng mga salita sa paraang gusto mong marinig para sa iyong sarili at ikakabuti ng taong pinagsasabihan mo, iwasang makasakit ng damdamin ng iba.","You will resign in the way you want to hear for yourself and the good of the person you are saying, avoid hurting others' feelings.","You will resign in the way you want to hear for yourself and the good of the person you are saying, avoid hurting others' feelings."
R_3MA4GO9xam9bYFv,phl,"Hate speech ay may halong pagkainggit o galit toward sa isang tao o issue. Kaya nagkakaroon ng hate speech gaya ng pagmumura, panghahamak, at iba pa ay dahil hindi masaya ang taong nagsabi nito sa kabuuan ng kanyang buhay. Mas nakakaawa sila kaysa nakakagalit.","Hate speech is mixed with envy or anger toward in someone or issue.So there is a hate speech such as swearing, disgusting, and so on because the person who has said it has not been happy throughout his life.They are more pitiful than irritating.","Hate speech is mixed with envy or anger toward in someone or issue.So there is a hate speech such as swearing, disgusting, and so on because the person who has said it has not been happy throughout his life.They are more pitiful than irritating."
R_1dKpC7c4X28wYG2,phl,Hate speech is slanderous if its content violates human rights and it also contains sarcasms and insults.it degrades the and humiliates a person.,Hate speech is slanderous if its content violates human rights and it also contains sarcasms and insults.it degrades the and humiliates a person.,Hate speech is slanderous if its content violates human rights and it also contains sarcasms and insults.it degrades the and humiliates a person.
R_2YbmRYkav6gWOkt,phl,Masasabi kong ito ay hate speech kung ang konteksto o ang buod o mensahe ay kakikitaan o lumilikha ng pagkamuhi o galit sa isa o grupo ng mga tao,I can say it is a hate speech if the context or the summary or message visits or creates hate or anger with one or group of people,I can say it is a hate speech if the context or the summary or message visits or creates hate or anger with one or group of people
R_2S6qhXJSCPmvDMt,phl,"Kapag ito ay malayo na isyu ng pinag uusapan , katulad ng pagmumura , body shaming , kumbaga hinaluan na ito ng pamimintas para lang makasakit o masaktan ang damdamin ng taong iyon","When this is a long -term issue of discussion, such as swearing, body shaming, it is a mess of criticism just to hurt or hurt that person's feelings","When this is a long -term issue of discussion, such as swearing, body shaming, it is a mess of criticism just to hurt or hurt that person's feelings"
R_1cY4kmt6aF2AEqg,phl,"Any form of speech that violates the rights of a certain group, usually the minority group. Something that is below-the-belt and may cause or feel harm towards the person whom the speech is referring to. For example: racial slurs, homophobic remarks, and red-tagging.","Any form of speech that violates the rights of a certain group, usually the minority group. Something that is below-the-belt and may cause or feel harm towards the person whom the speech is referring to. For example: racial slurs, homophobic remarks, and red-tagging.","Any form of speech that violates the rights of a certain group, usually the minority group. Something that is below-the-belt and may cause or feel harm towards the person whom the speech is referring to. For example: racial slurs, homophobic remarks, and red-tagging."
R_2P7L3BaKslcIp3Y,phl,"Kung sa aakin lang kasi, sa ""Hate Speech"" aspect, tinutukoy ko ito base sa nararamdaman ng aking kausap o yung nag post. Hindi pa nangyayari sa akin na may magalit maliban lang sa aking mga magulang o nakakatanda.","If it's just because, in the ""hate speech"" aspect, I refer to it based on how my conversation feels or the post.It has never happened to me that someone is angry except for my parents or adults.","If it's just because, in the ""hate speech"" aspect, I refer to it based on how my conversation feels or the post.It has never happened to me that someone is angry except for my parents or adults."
R_BVVBdS01ZT1FChz,phl,"Bilang Isang mamamayan Ng sting Banda,tungkulin po matin bawat Isa na mag isip at intindihin mo Muna Ang paksa Bago ka mag post o mag comment.","As a citizen of the sting band, it is a responsibility to think and understand the topic before you post or comment.","As a citizen of the sting band, it is a responsibility to think and understand the topic before you post or comment."
R_zckEwr8SOjss0al,phl,Ang hate speech ay pananalota na nakakapinsala sa pagkatao ng tao sa kadahilanan ng kanyang paniniwala o pagkatao.,The hate speech is a scandal that is harmful to the human personality in the cause of its belief or personality.,The hate speech is a scandal that is harmful to the human personality in the cause of its belief or personality.
R_DcTIuA684Y8noMV,phl,"Ang hate speech ay walang laman na salita na ginawa nang mga western socialites who think there opinions are the center of the world, they are spoiled imperialist who have never lived in reality and any form of negative talk to them is bad infact I hold the opinion these people need to be discplined and shown the harsh reality of life because HATE SPEECH IS NOT A REAL WORLD BUT A MODERN INVENTION FOR IMAGINED OPRESSION. sorry for the aggresive point of view but this is how I feel about it","Ang hate speech ay walang laman na salita na ginawa nang mga western socialites who think there opinions are the center of the world, they are spoiled imperialist who have never lived in reality and any form of negative talk to them is bad infact I hold the opinion these people need to be discplined and shown the harsh reality of life because HATE SPEECH IS NOT A REAL WORLD BUT A MODERN INVENTION FOR IMAGINED OPRESSION. sorry for the aggresive point of view but this is how I feel about it","Ang hate speech ay walang laman na salita na ginawa nang mga western socialites who think there opinions are the center of the world, they are spoiled imperialist who have never lived in reality and any form of negative talk to them is bad infact I hold the opinion these people need to be discplined and shown the harsh reality of life because HATE SPEECH IS NOT A REAL WORLD BUT A MODERN INVENTION FOR IMAGINED OPRESSION. sorry for the aggresive point of view but this is how I feel about it"
R_3k6D48rSIa0mjBa,phl,Hate speech is when you call for physical harm to be imposed on individuals who do not agree with your views.,Hate speech is when you call for physical harm to be imposed on individuals who do not agree with your views.,Hate speech is when you call for physical harm to be imposed on individuals who do not agree with your views.
R_2S1h2o3tDl4LT10,phl,"Mga pangit na salita gaya ng pang iinsulto, pang aalimura ng kapwa, paninira, kasinungalingan at pagtatakip sa katotohanan.","Ugly words such as insults, neighbor's insults, destruction, lies and covering the truth.","Ugly words such as insults, neighbor's insults, destruction, lies and covering the truth."
R_vdhH4LELerTDtKh,phl,"Siguro para sa akin, ang hate speech ay ang mga salitang may pagbabanta sa partikular na grupo o indibiduwal na maaaring maghayag ng pagtatangi o prejudice laban sa kasarian o oryentasyon, relihiyon, at lahi.","Maybe for me, the hate speech is the words that threaten a particular group or individual who can express prejudice against gender or orientation, religion, and race.","Maybe for me, the hate speech is the words that threaten a particular group or individual who can express prejudice against gender or orientation, religion, and race."
R_5ciajRbZiBCyIpj,phl,"Hate Speech is a thing that it says anything to the first person that will incur hate and grudge of the first person, whether direct or indirect","Hate Speech is a thing that it says anything to the first person that will incur hate and grudge of the first person, whether direct or indirect","Hate Speech is a thing that it says anything to the first person that will incur hate and grudge of the first person, whether direct or indirect"
R_VRquCWPT8RCeHBf,phl,"Kapag Ang ipinopost o Ang mga komento ay laban sa isang particular na grupo ng tao, at hindi sa issue, para sa akin ay hate speech yun. 
Halimbawa, kung Ang komento ay tungkol sa issue ng pahpapakasal ng third sex, hindi yun hate speech. Pero kapag Ang komento ay laban sa mga third sex in general, hate speech yun.","When posting or comments are against a particular group of people, and not the issue, for me it is a hate speech.
For example, if the comment is about the issue of third sex marriage, that's not a hate speech.But when the comment is against the third sex in general, it is a hate speech.","When posting or comments are against a particular group of people, and not the issue, for me it is a hate speech. For example, if the comment is about the issue of third sex marriage, that's not a hate speech.But when the comment is against the third sex in general, it is a hate speech."
R_3QLgyYURrPJJfAV,phl,Mga post na pede nman na pag-usapan nlg pero mas pinipiling ipost khit na pde itong maging trauma sa ptutungkulan ng post.,Posts that are good to talk about but prefer to post it to be traumatized by the post.,Posts that are good to talk about but prefer to post it to be traumatized by the post.
